Title,Rate,Price,Price Before Discount,Discount,Image URL,Description,Brand Name,Model Name,Screen Size,Color,Hard Disk Size,CPU Model,RAM Memory Installed,Operating System,Special Features,Graphics Description,Brand,Package Dimensions,Batteries,Item model number,Manufacturer,Series,Form Factor,Standing screen display size,Screen Resolution,Processor Brand,Processor Type,Processor Speed,Processor Count,RAM Size,Memory Technology,Computer Memory Type,Maximum Memory Supported,Hard Drive Size,Hard Disk Description,Audio Details,Graphics Coprocessor,Graphics Chipset Brand,Graphics Card Description,Graphics RAM Type,Graphics Card Ram Size,Graphics Card Interface,Wireless Type,Number of USB 3.0 Ports,Are Batteries Included,Lithium Battery Energy Content,Lithium Battery Packaging,Lithium Battery Weight,Number Of Lithium Ion Cells,Item Weight,ASIN,Customer Reviews,Best Sellers Rank,Date First Available,reviews,Product Dimensions,Resolution,Memory Clock Speed,Connectivity Type,Number of USB 2.0 Ports,Number of HDMI Ports,Voltage,Optical Drive Type,Hard Drive Interface,Speaker Description,Average Battery Life (in hours),Wattage,Hardware Platform,Number of Lithium Metal Cells,CPU Speed,Number of Ethernet Ports
"Lenovo IdeaPad 5, CPU: Intel Core i7-1255U, 16GB Soldered DDR4-3200, Display: 15.6"" IPS 300nits Anti-glare, Dedicated Graphics, 512GB SSD, Free Dos(82SF00F1ED) 2 Years Local Warranty by Lenovo",3.8,"28,627",,,https://m.media-amazon.com/images/I/51dzo56It6L._AC_SX425_.jpg,"About this item
An IPS display panel designed to maximize your viewing
Built with a new level of attention to detail
Quickly as possible with speedy SSD drives and bountiful
High-resolution FHD displays produce images with crisp and clear colors
Multitasking feels easy and fast with a high performance processor",Lenovo,Ideapad 5,15.6 Inches,Gray,512 GB,Core i7-1255U,16 GB,Windows 11,Display,Integrated,Lenovo,51.5 x 30.6 x 7.5 cm; 2.3 kg,1 Lithium Ion batteries required. (included),82SF00F1ED,Lenovo,Ideapad 5,Laptop,15.6 Inches,1920 x 1080 pixels,Intel,Core i7-1255U,4.7 GHz,1,16 GB,DDR4,DDR4 SDRAM,512 GB,512 GB,SSD,Headphones,NVIDIA GeForce MX550,Intel,Integrated,DDR4 SDRAM,2 GB,Integrated,802.11ax,4,Yes,45 Watt Hours,Batteries contained in equipment,187 Grams,3,2.3 Kilograms,B0CVRMGCKT,3.83.8 out of 5 stars33 ratings3.8 out of 5 stars,"#2,024 in Electronics (See Top 100 in Electronics)#9 inTraditional Laptops",8 February 2024,"[{'Reviewer': 'PHANTOM', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 21 August 2024', 'Review': 'الجهاز مواصفات ممتازة بالنسبه لسعره ف وقت العرض بالذات.\nشاشة كويسه خامات مش وحشه شاحن سريع بيشحن بشاحن usb عادي. فيه بصمه سرعتها كويسة مبيسخنش و بيستحمل ضغط عليه. طبعا الجهاز مش للالعاب بس بيستحمل لعب ع خفيف كده ويشغل بجودة حلوه'}, {'Reviewer': 'Yara soliman', 'Rating': '1.0 ', 'Date': 'Reviewed in Egypt on 6 August 2024', 'Review': 'IT is really a disaster when 2 Multinational companies deal with each other products and then at the end you get a laptop with no windows . Then to save up some time away from return policy as it will take days till its done , so went to lenovo support center told me you have to wait untill we call you to bring the laptop and you can go and download windows from local market. Waaaaaw what an after sale support. Thats my review as amazon had an issue with delivery guy also that he could not complete the delivery because bar code issue and i had to wait till he can complete it from his end. Honestly dealing with amazon with big amount and transparency is a total lose'}, {'Reviewer': 'أحمد سليم', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 28 August 2024', 'Review': 'جيبته فى العرض ب60 الف والمواصفات مظبوطة عيبه الوحيد انه الرامات 2 *8 وليس 1*16 اما الباقى ممتاز'}, {'Reviewer': 'Mohamed Gbr', 'Rating': '4.0 ', 'Date': 'Reviewed in Egypt on 10 August 2024', 'Review': ""It's the best value in this price range, a core i5 12th Gen with a 16GB ram and 512 SSD, the only problem with it is the international warranty already started since September 2023, but a part from that all good""}, {'Reviewer': 'Mahmoud', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 29 August 2024', 'Review': 'كل شئ جيد ولكن الصوت متوسط'}]",,,,,,,,,,,,,,,,
ASUS Vivobook 15-X1504VA-NJ005W- i5-1335U-DDR4 8GB-512GB M.2 NVMe -Intel Iris X Graphics - 15.6-inch FHD (1920 x 1080) -Win11,3.9,"22,899"," List Price: EGP 27,500.00 ",-17%,https://m.media-amazon.com/images/I/613K1SFVX9L._AC_SX425_.jpg,"About this item
ASUS Vivobook 15
Windows 11 Home - ASUS recommends Windows 11 Pro for business
Intel Core i5-1335U Processor 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads)
DDR4 8GB
15.6-inch",ASUS,X1504VA-NJ005W,15.6 Inches,Quiet Blue,512 GB,Core i5-2310,8 GB,Windows 11 Home,Quiet,Integrated,ASUS,,1 Lithium Ion batteries required. (included),X1504VA-NJ005W,Asus,X1504VA-NJ005W,Netbook,15.6 Inches,1920 x 1200 pixels,Intel,Core i5-2310,4.6 GHz,1,8 GB,DDR4,DDR4 SDRAM,8 GB,512 GB,SSD,Speakers,AMD Radeon Graphics,Intel,Integrated,DDR4 SDRAM,,AGP,,1,Yes,2.6 Watt Hours,Batteries packed with equipment,,1,1.7 Kilograms,B0CN52DP3D,3.93.9 out of 5 stars15 ratings3.9 out of 5 stars,"#4,183 in Electronics (See Top 100 in Electronics)#13 inTraditional Laptops",12 November 2023,"[{'Reviewer': 'abdelrahman elkady', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 7 August 2024', 'Review': 'كانت اول تجربة لشراء لابتوب اونلاين وكنت قلقان جدا لكن الحمد لله الامور تمام بعد شهر تجربة بدون اي مشاكل، بس اتأكد ان البائع امازون'}, {'Reviewer': 'Ahmed Elkady', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 7 August 2024', 'Review': 'Well'}, {'Reviewer': 'user-M78LE5', 'Rating': '4.0 ', 'Date': 'Reviewed in Egypt on 27 May 2024', 'Review': 'نفس إمكانيات hp victus ابو ٤٥ الف وكمان ده أحدث وأسرع وعن تجربه'}, {'Reviewer': 'Osama Mohamed', 'Rating': '2.0 ', 'Date': 'Reviewed in Egypt on 5 August 2024', 'Review': 'سبب الارجاع هو أن المفصلة اليمين في اللابتوب تخرج صوت طرقعة عند فتح اللابتوب في الاول كان الصوت غير ملحوظ ولاكن في اليوم الرابع اصبح صوت الطرقعة ملحوظ علما بأن الابتوب لم يستعمل كثيرا وشكرا'}, {'Reviewer': 'waleedelhadidy', 'Rating': '3.0 ', 'Date': 'Reviewed in Egypt on 27 August 2024', 'Review': 'اللابتوب مقبول لكن عليه ملاحظات سينسور البصمة في مشكلة وساعات يدخل الويندوز من غير ياسورد\nواحيانا تبقى مستب برامج يعمل ريستارت ما تلاقيهاش\nمش عارف دا عيب ايه وخصوصا انه مش ضمان وكيل ف مش هتعرف تعمل حاجة مع الوكيل'}]",6.4 x 28.8 x 48.29 cm; 1.7 kg,1920x1080,3200 MHz,"Bluetooth, Wi-Fi",2,1,3.7 Volts,DVD+RW,,,,,,,,
"Lenovo IdeaPad Slim 3 15IRH8 Laptop - 13th Intel Core i7-13620H, 16 GB DDR5-4800 MHz, 512 GB SSD, Integrated Intel UHD Graphics, 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, Dos - Arctic Grey",3.0,"31,999",,,https://m.media-amazon.com/images/I/51VXgmHMm+L._AC_SX425_.jpg,"About this item
Camera : FHD 1080p with Privacy Shutter
SD Card Reader
512GB SSD M.2 2242 PCIe 4.0x4 NVMe
High Definition (HD) Audio
Microphone : 2x Array",Lenovo,IdeaPad Slim 3 15IRH8,15.6 Inches,Arctic Grey,512 GB,Intel Core i7,16 GB,DOS,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 16GB Soldered LPDDR5-4800, User-facing stereo speakers, 1.5W x2, optimized with Dolby® Audio™, Intel® Core™ i7-13620H, 10C (6P + 4E) / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB, Integrated Intel® UHD Graphics15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 16GB Soldered LPDDR5…See more",Integrated,Lenovo,48.4 x 33.2 x 7.2 cm; 1.6 kg,1 Lithium Ion batteries required.,83EM003JAX,Lenovo,IdeaPad Slim 3 15IRH8,Netbook,15.6 Inches,1920 x 1080 pixels,"Intel® Core™ i7-13620H, 10C (6P + 4E) / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB",Intel Core i7,2.4 GHz,10,,Lpddr 5,DDR5 RAM,16 GB,512 GB,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,High Definition (HD) Audio,Intel UHD Graphics,Intel,Integrated,GDDR6,,AGP,Bluetooth,3,,47 Watt Hours,Batteries contained in equipment,,7,1.6 Kilograms,B0CWG78C3L,3.03.0 out of 5 stars3 ratings3.0 out of 5 stars,"#10,830 in Electronics (See Top 100 in Electronics)#29 inTraditional Laptops",26 February 2024,"[{'Reviewer': 'Ibrahim', 'Rating': '3.0 ', 'Date': 'Reviewed in Egypt on 25 August 2024', 'Review': 'و بيبصم كتير'}]",,1920x1080 Pixels,4800 MHz,"Wi-Fi® 6, 11ax 2x2 + BT5.2",,1,5 Volts,CD-RW,PCIE x 4,"User-facing stereo speakers, 1.5W x2, optimized with Dolby® Audio™",10 Hours,,,,,
"Lenovo IdeaPad 1, CPU: Intel® Core™ i7-1255U, 8GB Soldered DDR4-3200, Display: 15.6"" FHD (1920x1080) TN 220nits Anti-glare, 512GB SSD, Windows® 11 Home (82QD00AVED) 2 Years Local Warranty by Lenovo",Previous page,"28,999",,,https://m.media-amazon.com/images/I/41LYrUswjjL._AC_SX425_.jpg,"About this item
Powerful Intel Core i7-1255U processor
Feature vibrant 15.6-inch HD display
Sleek and portable design
Include long-lasting battery life
Ideal laptop to complete basic internet tasks",Lenovo,Ideapad 1,15.6 Inches,White,512 GB,Intel Core i7,8 GB,Windows 11,"Wi-Fi® 6, 11ax 2x2 + BT5.1, Battery : Integrated 42Wh, SD Card Reader, Firmware TPM 2.0 Enabled, 512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®Wi-Fi® 6, 11ax 2x2 + BT5.1, Battery : Integrated 42Wh, SD Card Reader,…See more",Integrated,Lenovo,53.2 x 33.29 x 7.2 cm; 1.5 kg,1 Lithium Ion batteries required. (included),82QD00AVED,Lenovo,Ideapad 1,Laptop,15.6 Inches,1920 x 1080 pixels,Intel,Intel Core i7,0.9 GHz,1,,DDR4,DDR4 SDRAM,512 GB,512 GB,SSD,High Definition (HD) Audio,Intel Iris Xe Graphics,Intel,Integrated,DDR4 SDRAM,,Integrated,"Bluetooth, 802.11ax",1,Yes,45 Watt Hours,Batteries contained in equipment,187 Grams,3,1.5 Kilograms,B0CVMSQSJK,,"#8,279 in Electronics (See Top 100 in Electronics)#22 inTraditional Laptops",16 May 2023,[],,1920x1080 Pixels,3200 MHz,"Wi-Fi® 6, 11ax 2x2 + BT5.1",1,1,24 Volts,,PCIE x 4,"Stereo speakers, 1.5W x2, Dolby® Audio™",,,,,,
"HP Victus 15-fa0031dx Gaming Laptop - 12th i5-12450H 8-Cores, 8GB RAM, 512GB SSD, Nvidia GeForce GTX 1650 4GB GDDR6 Graphics, 15.6"" FHD (1920x1080) 144Hz, Backlit Keyboard, Windows 11 - Mica Silver",4.4,"32,666",,,https://m.media-amazon.com/images/I/81uTW77d3rL._AC_SX425_.jpg,"About this item
Operating system: Windows 11 Home From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.
Good Quality with a high end
Processor: 12th Generation Intel Core i5-12450H 12th Gen Intel Core processor distributes performance where you need it the most — saving you time and increasing your ability to do the things you actually want.
Memory: 8 GB DDR4-3200 MHz RAM (1 X 8 GB) Substantial high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.
Internal storage: 512 GB PCIe NVMe M.2 SSD Get up to 15x faster performance than a traditional hard drive.",HP,Victus 15-fa0031dx,15.6 Inches,Silver,512 GB,Intel Core i5,8 GB,Windows 11,Backlit Keyboard,Dedicated,HP,,1 Lithium Ion batteries required.,15-fa0031dx,hp,Victus 15-fa0031dx,Laptop,15.6 Inches,1920 x 1080 pixels,Intel,Intel Core i5,4400 MHz,8,8 GB,DDR4,DDR4 SDRAM,8 GB,512 GB,SSD,Speakers,NVIDIA GeForce GTX 1650,Intel,Dedicated,GDDR6,4 GB,AGP,Bluetooth,2,No,2 Watt Hours,Batteries contained in equipment,0.03 Grams,7,2.4 Kilograms,B0B67521S5,4.44.4 out of 5 stars199 ratings4.4 out of 5 stars,"#1,831 in Electronics (See Top 100 in Electronics)#8 inTraditional Laptops",24 July 2022,"[{'Reviewer': 'ممتاز و عملى و سعرو مناسب جدا', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 25 August 2024', 'Review': 'ممتاز جدا'}, {'Reviewer': 'عبدالعزيز عطاالله', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 6 January 2024', 'Review': 'ملتزمين'}, {'Reviewer': 'Hassan Fakhry', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 28 August 2023', 'Review': 'اللاب جه بنفس المواصفات وشغال كويس لكن اللون جاء كما بالصورة كحلي وليس فضي كما بالوصف. عموما ليست مشكله.'}, {'Reviewer': 'Hisham elsayed', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 24 January 2023', 'Review': 'good version'}, {'Reviewer': 'Eng / Muhammad Sharaf', 'Rating': '4.0 ', 'Date': 'Reviewed in Egypt on 20 February 2023', 'Review': 'اللاب رائع وعملي للشغل والجيمنج لكن طبعا سعره بقى خرافي بسبب ارتفاع الدولار لكن يظل نسبياً الافضل'}]",35.56 x 2.54 x 10.16 cm; 2.4 kg,1920x1080 Pixels,3200 MHz,Wi-Fi,,,240 Volts,No Optical Drive,eSATA,,7 Hours,65 watts,PC,7,,
"ASUS Zenbook 14X OLED, CPU: i9-13900H, 32GB RAM Graphics Card: RTX™ 3050, VRAM: 4GB GDDR6, Display: 14.5-inch 2.8K OLED 16:10 120Hz, 1TB SSD, Windows 11 (UX3404VC-OLED009W)",3.0,"61,599"," List Price: EGP 64,999.00 ",-5%,https://m.media-amazon.com/images/I/51HIlAuIXgL._AC_SX425_.jpg,"About this item
ASUS Zenbook 14X OLED UX3404VC-OLED009W i9-13900H 32GB LPDDR5 1TB SSD RTX 3050 4GB GDDR6 14.5-inch 2.8K OLED Win11 ""Sleeve USB-A to RJ45 gigabit ethernet adapter""",ASUS,ASUS Zenbook 14X OLED,14.05 Inches,Inkwell Gray,1 TB,Core i9-13900K,32 GB,Windows 11,"ASUS Zenbook 14X OLED UX3404VC-OLED009W i9-13900H 32GB LPDDR5 1TB SSD RTX™ 3050 4GB GDDR6 14.5-inch 2.8K OLED Win11 ""Sleeve USB-A to RJ45 gigabit ethernet adapter""ASUS Zenbook 14X OLED UX3404VC-OLED009W i9-13900H 32GB LPDDR5…See more",Dedicated,ASUS,45.79 x 29.8 x 7.3 cm; 1 kg,,90NB10H1-M005N0,ASUS,ASUS Zenbook 14X OLED,Netbook,14.05 Inches,2880_x_1800_pixels,Intel,Core i9-13900K,2.6,1,,Lpddr 5,DDR5 RAM,32 GB,1 TB,SSD,Speakers,NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,GDDR6,4 GB,PCI Express,,1,,,,,,1 Kilograms,B0CKVY9TTT,3.03.0 out of 5 stars2 ratings3.0 out of 5 stars,"#13,996 in Electronics (See Top 100 in Electronics)#40 inTraditional Laptops",11 October 2023,"[{'Reviewer': 'SaqrWare', 'Rating': '1.0 ', 'Date': 'Reviewed in Egypt on 6 March 2024', 'Review': 'بعد اسنخدام اسبوعين تقريبا استخدام خفيف في العمل فقط , ظهر بقعة زرقاء في الشاشة بدون مقدمات'}, {'Reviewer': 'Amazon Customer', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 20 February 2024', 'Review': 'As expected, provided specs are all correct, very high quality laptop'}]",,2880x1800 Pixels,,,,,240 Volts,,,harman/kardon (Premium),,,,,,
"Dell Inspiron 3520 Laptop - 12th Intel Core i3-1215U 6-Cores, 8GB RAM, 256GB SSD, Intel UHD Graphics, 15.6"" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare, Windows 11 - Carbon Black",3.7,"16,600"," List Price: EGP 18,499.00 ",-10%,https://m.media-amazon.com/images/I/71JoLOlxcpL._AC_SX425_.jpg,"About this item
12th Generation Intel Core i3-1215U (10MB Cache, up t o 4.4 GHz, 6 cores)
8GB DDR4 2666MHz
256GB M.2 PCIe NVMe Solid State Drive
Intel(R) Wi-Fi 6 AX201, 2x2, 802.11ax, Bluetooth(R) wireless card",Dell,Inspiron 3520,15.6 Inches,Carbon Black,256 GB,Core i3-1215U,8 GB,Windows 11 Home,"65 Watt AC Adapter, English Arabic Full Size Keyboard, 15.6 inch FHD (1920 x 1080) 120Hz 250 nits WVA Anti-Glare LED Backlit Narrow Border Display, 3-Cell Battery 41WHr (Integrated), Intel UHD Graphics65 Watt AC Adapter, English Arabic Full Size Keyboard, 15.6 inch FHD…See more",Integrated,Dell,57 x 32.4 x 7.6 cm; 1.8 kg,1 Lithium Ion batteries required.,I3520I1215U8G256W11,Dell,Inspiron 3520,Laptop,15.6 Inches,1920 x 1080 pixels,Intel,Core i3-1215U,4.4,6,,DDR4,DDR4 SDRAM,16 GB,256 GB,SSD,Headphones,Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,,Integrated,"Bluetooth, 802.11ax",2,,41 Watt Hours,Batteries contained in equipment,,7,1.8 Kilograms,B0CR8NJXG6,3.73.7 out of 5 stars3 ratings3.7 out of 5 stars,"#1,254 in Electronics (See Top 100 in Electronics)#7 inTraditional Laptops",31 December 2023,"[{'Reviewer': 'صورة الشاشة جيدة ولكن الجهاز ليس متينا وكذلك البطارية لا تدوم طويلا.', 'Rating': '2.0 ', 'Date': 'Reviewed in Egypt on 22 June 2024', 'Review': 'استخدمته بناء على ترشيح أحد خبراء هذا المجال'}, {'Reviewer': 'Islam Shihata', 'Rating': '4.0 ', 'Date': 'Reviewed in Egypt on 19 June 2024', 'Review': 'جيد'}]",,1920x1080 Pixels,,"Intel(R) Wi-Fi 6 AX201, 2x2, 802.11ax, Bluetooth(R) wireless card",1,1,240 Volts,CD-RW,PCIE x 4,stereo speakers,,,,,,
"HP Envy X360 2-in-1 Laptop 13-BF0001NE (6J7W8EA), Intel Core i7 1250U, 12th Generation, 16GB LPDDR4X 4266, 1 TB SSD - Silver",4.7,"49,999",,,https://m.media-amazon.com/images/I/617upwPnU9L._AC_SX425_.jpg,"About this item
Processor: Intel Core i7-1250U, a powerful processor for demanding applications.
RAM:16GB, providing ample memory for multitasking and resource-intensive tasks.
Graphics: Integrated Intel Iris Xe graphics, suitable for everyday tasks and light gaming.
Display: 13.3-inch touchscreen WUXGA (1920x1200) IPS display with 400 nits brightness for vibrant visuals.",HP,13-BF0001NE,15.6 Inches,Blue,1 TB,Core i7-1250U,16 GB,Windows 11,fingerprint reader,Integrated,HP,,1 Lithium Ion batteries required. (included),13-bf0001ne,HP,13-BF0001NE,Convertible,15.6 Inches,1920 x 1080 pixels,HP,Core i7-1250U,,1,16,DDR5,DDR5 RAM,,1 TB,SSD,Headphones,,Intel,Integrated,DDR5 SDRAM,,AGP,,1,Yes,30 Watt Hours,Batteries packed with equipment,,1,2 Kilograms,B0BM58VSKP,4.74.7 out of 5 stars4 ratings4.7 out of 5 stars,"#9,320 in Electronics (See Top 100 in Electronics)#25 inTraditional Laptops",11 November 2022,"[{'Reviewer': 'يحيى محمود', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 22 August 2024', 'Review': 'Excellent offer'}, {'Reviewer': 'Abdelghafar Gamal', 'Rating': '4.0 ', 'Date': 'Reviewed in Egypt on 14 August 2024', 'Review': 'جميل جدا الي الان بس بيسخن بسهولة'}, {'Reviewer': 'Excellent', 'Rating': '5.0 ', 'Date': 'Reviewed in Egypt on 2 August 2024', 'Review': 'device is really amazing 16 GB ram + 1 Tera Storage + Touch screen\nExcellent Offer'}]",23 x 33 x 2 cm; 2 kg,,,"Bluetooth, Wi-Fi",2,,,DVD±RW,Serial ATA,,,,,,,
"HP Laptop 15-fd0022ne - Intel Core i7-1355U 13th Generation, 8GB RAM, 512GB SSD, Integrated, Intel Iris X Graphics, 15.6"" FHD (1920 x 1080) anti-glare 250 nits, DOS - natural silver",Previous page,"32,032",,,https://m.media-amazon.com/images/I/51tCZCgEb+L._AC_SX425_.jpg,"About this item
HP Laptop 15-fd0022ne, FreeDOS 3.0, 15.6"", Intel Core i7, 8GB RAM, 512GB SSD, FHD, Natural silver",HP,15-fd0022ne,15.6 Inches,Natural Silver,512 GB,Intel Core i7-1355U,8 GB,DOS,"512 GB PCIe® NVMe™ M.2 SSD, Intel® Core™ i7-1355U (up to 5.0 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads), 39.6 cm (15.6"") diagonal, FHD (1920 x 1080), micro-edge, anti-glare, 250 nits, 45% NTSC, Anti Glare Coating512 GB PCIe® NVMe™ M.2 SSD, Intel® Core™ i7-1355U (up to 5.0 GHz wit…See more",Integrated,HP,55.2 x 31.1 x 7 cm; 1.6 kg,,15-fd0022ne,hp,15-fd0022ne,Laptop,15.6 Inches,,Intel,Intel Core i7-1355U,3.7 GHz,10,,DDR4,DDR4 SDRAM,16 GB,512 GB,512 GB PCIe® NVMe™ M.2 SSD,,Intel Iris Xe Graphics,Intel,Integrated,DDR4 SDRAM,,Integrated,Bluetooth,3,,41 Watt Hours,Batteries contained in equipment,,,1.6 Kilograms,B0D6BVJN5W,,"#7,842 in Electronics (See Top 100 in Electronics)#20 inTraditional Laptops",6 June 2024,[],,1920x1080 Pixels,,"Bluetooth, Wi-Fi",,1,,BD-R,PCIE x 4,,,,,,,
"HUAWEI MateBook D 16 Laptop with 16 Inch Eye Comfort FullView Display,12th Core i5 High Peformance Processor, 8GB RAM+512GB SSD, English/Arabic, Silver + Freebuds 5I + BT Mouse + Bag",4.3,"31,999",,,https://m.media-amazon.com/images/I/61XTPmFwUOL._AC_SX425_.jpg,"About this item
16"" Eye Comfort HUAWEI FullView Display This laptop has a 16-inch screen, but it weighs as little as a standard 15-inch model, at 1.68 kg light body.
Nimble Numeric Keypad The numeric keypad doubles office efficiency in making reports, writing documents, and inputting data, and allows you to input numbers with only one hand.
HUAWEI Metaline Antenna,270 m Ultra-Long-Range Connectivity As the first laptop model to obtain the SGS five-star Wi-Fi signal capability certification, HUAWEI MateBook D 16 boosts file download speeds by 51%.
70 Wh Large-capacity Battery The battery has a capacity of 70 Wh (Rated Value), supporting 15 hours of local video playback on a full charge.
Super Device Drag to connect your laptop to a wide array of devices seamlessly via Super Device, to bring your productivity through the roof with little effort.",HUAWEI,MateBook D,16 Inches,,512 GB,Core i5 Family,8 GB,DOS,Numeric Keypad,Integrated,HUAWEI,,1 Lithium Polymer batteries required. (included),MitchellF-W5851,Huawei,MateBook D,Laptop,16 Inches,1920 x 1080 pixels,Intel,Core i5 Family,3.4,1,8 GB,DDR4,DDR4 SDRAM,512 GB,512 GB,SSD,Speakers,,Intel,Integrated,DDR4 SDRAM,,Integrated,,2,Yes,2.6 Kilowatt Hours,Batteries contained in equipment,,2,1.68 Kilograms,B0CQJNHMDL,4.34.3 out of 5 stars25 ratings4.3 out of 5 stars,#742 in Electronics (See Top 100 in Electronics)#4 inTraditional Laptops,27 May 2024,"[{'Reviewer': 'داد', 'Rating': '5.0 ', 'Date': 'Reviewed in Saudi Arabia on 29 August 2024', 'Review': 'أفضل من باقي المنتجات المعروفةويتفوق عليها ايضاً ، الصراحة هواوي بتخليك تغير مفهومك عن الصين'}, {'Reviewer': 'Ashraf A.', 'Rating': '4.0 ', 'Date': 'Reviewed in Saudi Arabia on 30 August 2024', 'Review': ""In this price good laptop and for normal usage it's very friendly machine""}, {'Reviewer': 'nasser', 'Rating': '5.0 ', 'Date': 'Reviewed in Saudi Arabia on 20 August 2024', 'Review': 'ممتاز جداً'}, {'Reviewer': 'MD. Sohel alam', 'Rating': '5.0 ', 'Date': 'Reviewed in Saudi Arabia on 1 August 2024', 'Review': 'I love it 😻💟'}, {'Reviewer': 'user-MKWLQL', 'Rating': '4.0 ', 'Date': 'Reviewed in Saudi Arabia on 24 July 2024', 'Review': 'Its lite weight and good performance for business and students work.\nbattery timing not same as describe only up to 7 hours continually work on it'}]",7 x 33 x 52.4 cm; 1.68 kg,,,Wi-Fi,1,,70 Volts,CD-ROM,,,,,,,3.4,
